Authors,Author(s) ID,Title,Link,Author Keywords,Index Keywords
"Boby R.A., Maloletov A., Klimchik A.","36069116200;35364441900;37016245900;","Measurement of End-effector Pose Errors and the Cable Profile of Cable-Driven Robot using Monocular Camera","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102103061&doi=10.1007%2fs10846-021-01486-z&partnerID=40&md5=a4be37944c7bc22546a72ae35d79a27b","Accuracy; Cable modeling; Cable-driven robot; Performance measurement; Repeatability; Robot vision systems","Agricultural robots; Cables; Cameras; Cable driven robots; Directional accuracy; End-effector coordinates; Measure orientation; Measurement volume; Monocular cameras; Performance metrics; Positioning error; End effectors"
"Staroletov S., Schulte H., Baar T., Konyukhov I., Shilov N., Rozov A., Liakh T., Zyubin V.","57211609703;15925752000;23018259600;57189072348;57211877255;57197925838;57189899561;6505933564;","Modeling and Verification using Different Notations for CPSs: The One-Water-Tank Case Study","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117750138&doi=10.15439%2f2021F98&partnerID=40&md5=6fba45ab8a9075d8f288530585417419",,"Accident prevention; Hybrid systems; MATLAB; Water tanks; Case-studies; Critical-state; Deterministic systems; Formalisation; Initial state; Modeling and verifications; Safety property; Simulink; System behaviors; Embedded systems"
"Ismaeel K., Naumchev A., Sadovykh A., Truscan D., Enoiu E.P., Seceleanu C.","57322198800;57190306849;24479058100;6508330976;36462407100;55884138900;","Security Requirements as Code: Example from VeriDevOps Project","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118455050&doi=10.1109%2fREW53955.2021.00063&partnerID=40&md5=7e4b064f4892afe07506ef330e3321b8","development; requirements as code; seamless; security; software","Codes (symbols); Computer software reusability; Object oriented programming; Software design; Code duplication; Development; Position papers; Requirement as code; Reuse; Seamless; Security; Security requirement specifications; Security requirements; Software; Cryptography"
"Ebersold S., Laleau R., Mazzara M.","25640661100;57203847210;57257875800;","Welcome from the Organizers FormReq 2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118440094&doi=10.1109%2fREW53955.2021.00061&partnerID=40&md5=475dedd3a35ecfd73c0e85214d369806",,
"Briskin E.S., Kalinin Y.V., Lepetukhin K.Y., Maloletov A.V., Sharonov N.G.","6506125834;44161114000;57211559614;35364441900;56263638700;","On Controlling the Shape of a Circular Sprinkling Machine and the Stability of Its Programmed Motion","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117300792&doi=10.1134%2fS1064230721050063&partnerID=40&md5=21272fc4f0d4a8a37e6a9f9911eb5a69",,"Circular motion; Condition; Design and control; Optimal controls; Programmed motions; Rational construction"
"Savin S., Balakhnov O., Khusainov R., Klimchik A.","55978984900;57211524628;56895904700;37016245900;","State observer for linear systems with explicit constraints: Orthogonal decomposition method","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115171920&doi=10.3390%2fs21186312&partnerID=40&md5=3a184ddcf75828b2d0abb511e4031269","Dynamic output feedback; Explicit constraints; State observer; Walking robots","Invariance; Linear systems; State estimation; State feedback; Time varying control systems; Dimensional subspace; Inverted pendulum; Linear time invariant systems; Mechanical constraints; Minimal coordinates; Orthogonal decomposition; Quadruped Robots; Robotic systems; Linear control systems; algorithm; feedback system; Algorithms; Feedback"
"Khramova M.V., Kuc A.K., Maksimenko V.A., Frolov N.S., Grubov V.V., Kurkin S.A., Pisarchik A.N., Shusharina N.N., Fedorov A.A., Hramov A.E.","56572729200;57205658369;56572360300;16498801300;54787609400;35334432000;7005864666;55790267200;57247730600;6603156741;","Monitoring the cortical activity of children and adults during cognitive task completion","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114320286&doi=10.3390%2fs21186021&partnerID=40&md5=842d98c9ae60696b17facc5debe16381","Age differences; Attentional modulation; Brain–computer interface; Cognitive task; Cortical activity monitoring; EEG sensors; Human cognitive state; Schulte table; Sensor-level analysis","Interface states; Cognitive control; Cognitive functions; Cognitive process; Complex cognitive tasks; Cortical activity; Mental arithmetic; Process of learning; Retrieval strategies; Cognitive systems; adult; attention; brain; child; cognition; electroencephalography; human; short term memory; Adult; Attention; Brain; Child; Cognition; Electroencephalography; Humans; Memory, Short-Term"
"Shcherba V., Hussain R.","57236549700;35324500900;","Blockchain and games: A novel middleware for blockchain-based multiplayer games","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113810809&doi=10.1145%2f3472716.3472845&partnerID=40&md5=b40e2d6c49ebb01a40c51e8cf71c5fc7","blockchain games; middleware; multi-player games; peer-to-peer games; polkadot protocol","Blockchain; Middleware; Peer to peer networks; Client server; Game servers; Multiplayer computer games; Multiplayer games; P2P network; Peer to peer; Peer-to-peer approach; State synchronization; Computer games"
"Daniakin K.","57282618500;","Overcoming metric diversity in meta-analysis for software engineering: Proposed approach and a case study on its usage on the effects of software reuse","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116239569&doi=10.1145%2f3468264.3473488&partnerID=40&md5=31d1833e71f82ae5edc52ad6cafbe669","meta-analysis; software engineering; software reuse","Application programs; Case-studies; Clusterings; Direct analysis; Input-output table; Meta-analysis; Software-reuse; Computer software reusability"
"Gerasimova S.A., Belov A.I., Korolev D.S., Guseinov D.V., Lebedeva A.V., Koryazhkina M.N., Mikhaylov A.N., Kazantsev V.B., Pisarchik A.N.","56779844300;7202832059;57217519896;8929042600;56673830700;55977951100;6701888444;7005605401;7005864666;","Stochastic memristive interface for neural signal processing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113152429&doi=10.3390%2fs21165587&partnerID=40&md5=3bb61fe2f13df9069e97704a384ab658","FitzHugh–Nagumo neuron; Memristive device; Neuro-morphic circuit; Neuron-like oscillator; Stochastic dynamics; Synchronization","Data acquisition; Neurons; Signal processing; Stochastic systems; Tuning; Data acquisition system; Electronic neurons; Neural signal processing; Neural synchronization; Post-synaptic neurons; Real time performance; Stochastic nature; Synaptic connections; Memristors; computer; electronics; nerve cell; signal processing; Computers; Electronics; Neural Networks, Computer; Neurons; Signal Processing, Computer-Assisted"
"Tsybina Y., Gordleeva S., Krivonosov M., Kastalskiy I., Zaikin A., Gorban A.","57219974710;55328272900;57200324455;55314345300;7103103296;7005285942;","Modelling working memory in neuron-astrocyte network","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116451609&doi=10.1109%2fIJCNN52387.2021.9533307&partnerID=40&md5=580ec1ad2a38969cbcf506eeb7124289","Astrocyte; Hebbian Synaptic Plasticity; Neural Network; Neuron-Astrocyte Interaction; Working Memory","Brain; Chemical activation; Modulation; Neural networks; Pattern recognition; Astrocyte; Brain circuitry; Brain functions; Hebbian; Hebbian synaptic plasticity; Information patterns; Neural-networks; Neuron-astrocyte interaction; Synaptic plasticity; Working memory; Neurons"
"Khafizov R., Savin S.","57282614900;55978984900;","Length-constrained mixed-integer convex programming-based generation of tensegrity structures","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116262986&doi=10.1109%2fICARM52023.2021.9536138&partnerID=40&md5=e818951cfd07faac718be4f95a5351d7",,"Convex optimization; Interplanetary spacecraft; Length constrained; Length constraints; Mixed integer convex programming; Mixed-Integer Programming; Planetary exploration; Structural elements; Structure-based; Tensegrities; Tensegrity structure; Walking robots; Integer programming"
"Kabir M.S., Ndukwe I.K., Awan E.Z.S.","57261452900;57261896900;57215306478;","Deep Learning Inspired Vision based Frameworks for Drone Detection","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115062215&doi=10.1109%2fICECCE52056.2021.9514124&partnerID=40&md5=3cf17f66190f9c86745bfaf6f4c60e7c","Average Precision; Detection Transformer; Drone detection; Object detection; Transformer architecture; YOLO architecture","Benchmarking; Curve fitting; Deep learning; Drones; Benchmark datasets; Defence systems; Detection models; Detection technology; Law-enforcement agencies; Performance metrics; Single shots; Vision based; Aircraft detection"
"Ali M.H., Kabir M.S.","57262044200;57261452900;","Design and Development of an Unmanned Ground Vehicle with Serial Manipulator and its Control Mechanism","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115055980&doi=10.1109%2fICECCE52056.2021.9514228&partnerID=40&md5=19e685f7335feeccfe6b1811aa1ce045","Buck Regulators; DualShock-2 Gamepad; ESP8266 WiFi module; FPV Camera; GPS; Unmanned Ground Vehicle","Cost effectiveness; Ground vehicles; Industrial manipulators; Redundant manipulators; Computationally efficient; Control mechanism; Control methodology; Day-to-day operations; Design and Development; Real time performance evaluation; Serial manipulators; Unmanned ground vehicles; Intelligent vehicle highway systems"
"Nour B., Khelifi H., Hussain R., Mastorakis S., Moungla H.","57195226408;57188689712;35324500900;56879181900;13408921700;","Access Control Mechanisms in Named Data Networks","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108068061&doi=10.1145%2f3442150&partnerID=40&md5=ba47ed65cc28f8730392f6bcf572162c","access control mechanisms; Information-centric networking; named data networking; survey","Cryptography; Digital storage; Information theory; Network architecture; Network security; Transmission control protocol; Access control mechanism; Client server communications; Cryptographic algorithms; Future internet architecture; Future research directions; Information-centric networkings (ICN); Internet communication; Named data networkings; Access control"
"Loukil F., Boukadi K., Hussain R., Abed M.","57194766780;24400647700;35324500900;7004244673;","Ciosy: A collaborative blockchain-based insurance system","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107152757&doi=10.3390%2felectronics10111343&partnerID=40&md5=687abc9d2404aa33998e74fb85eaf7ec","Blockchain; Ethereum; Insurance; Security; Smart contract",
"Ghandoura A., Hjabo F., Al Dakkak O.","57223281214;57223272713;24528230500;","Building and benchmarking an Arabic Speech Commands dataset for small-footprint keyword spotting","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105521739&doi=10.1016%2fj.engappai.2021.104267&partnerID=40&md5=90bf21e4d4f62ca2d65528764cca9e04","Arabic Speech dataset; Deep learning; Keyword spotting; Machine learning; Speech recognition","Convolutional neural networks; Deep learning; Speech; Arabic speech; Arabic speech dataset; Convolutional neural network; Deep learning; Google+; Keyword spotting; Learning approach; Machine-learning; Small footprints; Speech commands; Speech recognition"
"Suhail S., Hussain R., Khan A., Hong C.S.","55934138000;35324500900;55209201300;56623778200;","Corrigendum to “Orchestrating product provenance story: When IOTA ecosystem meets electronics supply chain space” [Comput. Ind. 123 (December) (2020) 103334] (Computers in Industry (2020) 123, (S0166361520305686), (10.1016/j.compind.2020.103334))","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101927682&doi=10.1016%2fj.compind.2020.103392&partnerID=40&md5=29246b25df20e46503a16321215e8079",,
"Jankovic J., Ilic Z., Oracevic A., Ahsan Kazmi S.M., Hussain R.","57219565399;7004116952;55229307000;56783838600;35324500900;","Effects of Differentiated 5G Services on Computational and Radio Resource Allocation Performance","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101765666&doi=10.1109%2fTNSM.2021.3060865&partnerID=40&md5=68395e472910f9c1319db55a2bb3c829","5G services; radio access network (RAN); RAN slicing; resource allocation; service differentiation","4G mobile communication systems; Mobile telecommunication systems; Quality of service; Radio; Radio access networks; Resource allocation; Computational loads; Computational resources; Low-latency communication; Machine type communications; Packet loss ratio; Radio allocation; Radio resource allocation; User associations; 5G mobile communication systems"
"Kenfack P.J., Khan A.M., Ahsan Kazmi S.M., Hussain R., Oracevic A., Khattak A.M.","57216861926;16679109100;56783838600;35324500900;55229307000;26031517700;","Impact of Model Ensemble on the Fairness of Classifiers in Machine Learning","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113818545&doi=10.1109%2fICAPAI49758.2021.9462068&partnerID=40&md5=e8560b04c6ee8b31d6dec92b6b2327a6","Biases; Ensemble models; Explainable AI; Fairness; Machine Learning","Economic and social effects; Ensemble models; Ensemble strategies; Fairness constraints; High-accuracy; Historical data; Model ensembles; Research questions; Weighting techniques; Machine learning"
"Thapaliya A.","57210745306;","Effect on Brain Activity while Programming with (without) Music","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115696353&doi=10.1109%2fICSE-Companion52605.2021.00044&partnerID=40&md5=a02f4f23f6f051f639753bcf4b74b5b5","empirical software engineering; Mental states while programming; programming with music","Brain; Circular waveguides; Electromagnetic waves; Neurophysiology; Software engineering; Students; Brain activity; Empirical Software Engineering; Mental state; Mental state while programming; Pre-processing techniques; Programming with music; Software developer; Music"
"Tolkachev A., Sirazitdinov I., Kholiavchenko M., Mustafaev T., Ibragimov B.","57220022454;57202919950;57210322274;57210314945;40761505000;","Deep Learning for Diagnosis and Segmentation of Pneumothorax: The Results on the Kaggle Competition and Validation against Radiologists","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105790602&doi=10.1109%2fJBHI.2020.3023476&partnerID=40&md5=f2e736f78a1abcd7bd2f0743b49d6968","chest X-rays; convolutional neural network; deep learning; Kaggle competition; Pneumothorax; radiologist validation","Artificial life; Computer aided diagnosis; Computer aided instruction; Convolutional neural networks; X rays; Data augmentation; Diagnostic modality; Dice coefficient; Learning frameworks; Methodological patterns; Post processing; Step-by-step instructions; TOP framework; Deep learning; tumor marker; algorithm; Article; artificial neural network; computer aided design; convolutional neural network; deep learning; hospitalization; human; image processing; image quality; image reconstruction; image segmentation; learning algorithm; left anterior descending coronary artery; machine learning; measurement accuracy; natural language processing; pneumothorax; radiologist; residual neural network; risk factor; sensitivity and specificity; thorax pain; thorax radiography; training; validation study; computer assisted diagnosis; diagnostic imaging; radiologist; Deep Learning; Diagnosis, Computer-Assisted; Humans; Image Processing, Computer-Assisted; Neural Networks, Computer; Pneumothorax; Radiologists"
"Hussain R., Lee J., Zeadally S.","35324500900;50262320700;7003472739;","Trust in vanet: A survey of current solutions and future research opportunities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105566777&doi=10.1109%2fTITS.2020.2973715&partnerID=40&md5=56d3aa6881b1937e55c2a25db7c81efe","Privacy; Reputation; Security; Trust; Vehicular networks","Cryptography; Intelligent systems; Intelligent vehicle highway systems; Network security; Degree of certainty; Intelligent transportation systems; Management mechanisms; Research opportunities; Security and privacy; Security and privacy issues; Trust and reputation; Vehicular Adhoc Networks (VANETs); Vehicular ad hoc networks"
"Zulfiqar M., Ahmad M., Sohaib A., Mazzara M., Distefano S.","57223088372;55232255600;57218763640;8557895400;17433851100;","Hyperspectral imaging for bloodstain identification","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104718877&doi=10.3390%2fs21093045&partnerID=40&md5=e9ef4e42ef4d447fbf434416c6fabb9f","ANNs; Bloodstains identification; Hyperspectral imaging; SVM; Weak bands","Chemical analysis; Crime; Decision trees; Hyperspectral imaging; Nondestructive examination; Paint; Spectroscopy; Chemical method; Comparative analysis; Derivative spectra; Heme components; Nondestructive methods; Savitzky Golay Filtering; Spatial dimension; State-of-the-art methods; Blood; blood stain; forensic science; textile; Blood Stains; Forensic Sciences; Hyperspectral Imaging; Textiles"
"Majeed U., Khan L.U., Yaqoob I., Kazmi S.M.A., Salah K., Hong C.S.","57215344166;57214757171;56045308100;56783838600;35617663600;56623778200;","Blockchain for IoT-based smart cities: Recent advances, requirements, and future challenges","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101901859&doi=10.1016%2fj.jnca.2021.103007&partnerID=40&md5=fcd50e08b5529c458a82c85fa026be03","Blockchain; Ethereum; Internet of Things; Security; Smart city; Smart contracts; Smart environments","Blockchain; Smart city; Consensus algorithms; Future challenges; Intelligent transportation; Internet of thing (IOT); Life qualities; Research challenges; Research efforts; Smart applications; Internet of things"
